,Variable,index_20,index_21,index_22
786,h1305,,194.0,
787,h1305a,,195.0,
788,h1306,,196.0,
789,h1306a,,197.0,
790,h1307,,198.0,
791,h1307a,,199.0,
792,h1308,,200.0,
793,h1308a,,201.0,
794,h1309,,202.0,
795,h1309a,,203.0,
796,h1310,,204.0,
797,h1310a,,205.0,
798,h1311,,206.0,
799,h1311a,,207.0,
800,h1401,,209.0,
801,h1402,,210.0,
802,h1403,,211.0,
803,h1404,,212.0,
804,h1405,,213.0,
805,h1502m,,216.0,
806,h1502a,,217.0,
807,h1506,,221.0,
808,h1508,,223.0,
809,h1509,,224.0,
810,h1510,,225.0,
811,h1511,,226.0,
812,h1512,,227.0,
813,h1512as,,228.0,
814,h1512am,,229.0,
815,h1513,,230.0,
816,h1514,,231.0,
817,h1515,,232.0,
818,h1516,,233.0,
819,h1517,,234.0,
820,h1518,,235.0,
821,nota16,,236.0,162.0
822,x_region,,242.0,
823,t_hora,,,1.0
824,t_min,,,2.0
825,t_sumai,,,3.0
826,t_sumaf,,,4.0
827,jefe,,,69.0
828,h0501p,,,88.0
829,h0501q,,,89.0
830,h0501r,,,90.0
831,h0501s,,,91.0
832,h0501t,,,92.0
833,h0501u,,,93.0
834,h0501v,,,94.0
835,h0501w,,,95.0
836,h0501x,,,96.0
837,h0501y,,,97.0
838,nota08a1,,,112.0
839,h08a01,,,113.0
840,h08a01esp,,,114.0
841,h08a02,,,115.0
842,nota08a2,,,116.0
843,h08a03,,,117.0
844,h08a0401,,,118.0
845,h08a0501,,,119.0
846,h08a0402,,,120.0
847,h08a0502,,,121.0
848,h08a0403,,,122.0
849,h08a0503,,,123.0
850,h08a0404,,,124.0
851,h08a0504,,,125.0
852,h08a0405,,,126.0
853,h08a0505,,,127.0
854,h08a0406,,,128.0
855,h08a0506,,,129.0
856,h08a0407,,,130.0
857,h08a0507,,,131.0
858,h08a0408,,,132.0
859,h08a0508,,,133.0
860,h08a0409,,,134.0
861,h08a0509,,,135.0
862,h08a06,,,136.0
863,h08a07,,,137.0
864,h08a08,,,138.0
865,nota08a3,,,139.0
866,h08a091,,,140.0
867,h08a09a,,,141.0
868,h08a09b,,,142.0
869,h08a09c,,,143.0
870,h08a09d,,,144.0
871,h08a09e,,,145.0
872,h08a09es,,,146.0
873,h08a101,,,147.0
874,h08a10a,,,148.0
875,h08a10b,,,149.0
876,h08a10c,,,150.0
877,h08a10d,,,151.0
878,h08a10e,,,152.0
879,h08a10es,,,153.0
880,nota08a4,,,154.0
881,h08a11,,,155.0
882,h08a11esp,,,156.0
883,h08a12,,,157.0
884,h08a12esp,,,158.0
885,h08a13,,,159.0
886,h08a13esp,,,160.0
887,indigena_h,,,172.0
